Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-02-24,Lat Pulldown,Back,140.0,lbs,12,,,,""
2025-02-24,Lat Pulldown,Back,150.0,lbs,9,,,,""
2025-02-24,Lat Pulldown,Back,150.0,lbs,8,,,,""
2025-02-24,Lat Pulldown,Back,140.0,lbs,8,,,,""
2025-02-24,Longpull,Back,130.0,lbs,10,,,,""
2025-02-24,Longpull,Back,130.0,lbs,10,,,,""
2025-02-24,Longpull,Back,130.0,lbs,10,,,,""
2025-02-24,Longpull,Back,130.0,lbs,10,,,,""
2025-02-24,Pulldown (Free Weights),Back,90.0,lbs,11,,,,""
2025-02-24,Pulldown (Free Weights),Back,115.0,lbs,4,,,,""
2025-02-24,Pulldown (Free Weights),Back,90.0,lbs,10,,,,""
2025-02-24,Pulldown (Free Weights),Back,90.0,lbs,8,,,,""
2025-02-24,Rows (Free Weights),Back,65.0,lbs,15,,,,""
2025-02-24,Rows (Free Weights),Back,90.0,lbs,10,,,,""
2025-02-24,Rows (Free Weights),Back,115.0,lbs,8,,,,""
2025-02-24,Rows (Free Weights),Back,90.0,lbs,10,,,,""
2025-02-25,Shoulder Press,Shoulders,45.0,lbs,12,,,,""
2025-02-25,Shoulder Press,Shoulders,90.0,lbs,12,,,,""
2025-02-25,Barbell Curl,Biceps,50.0,lbs,15,,,,""
2025-02-25,Shoulder Press,Shoulders,100.0,lbs,6,,,,""
2025-02-25,Shoulder Press,Shoulders,90.0,lbs,7,,,,""
2025-02-25,Shoulder Press,Shoulders,70.0,lbs,8,,,,""
2025-02-25,Barbell Curl,Biceps,70.0,lbs,13,,,,""
2025-02-25,Parallel Bar Triceps Dip,Triceps,10.0,lbs,15,,,,""
2025-02-25,Parallel Bar Triceps Dip,Triceps,15.0,lbs,12,,,,""
2025-02-25,Barbell Curl,Biceps,70.0,lbs,9,,,,""
2025-02-25,Parallel Bar Triceps Dip,Triceps,15.0,lbs,12,,,,""
2025-02-25,Barbell Curl,Biceps,60.0,lbs,12,,,,""
2025-02-25,Lateral Dumbbell Raise,Shoulders,15.0,lbs,15,,,,""
2025-02-25,Lateral Dumbbell Raise,Shoulders,15.0,lbs,12,,,,""
2025-02-25,Dumbbell Curl,Biceps,30.0,lbs,8,,,,""
2025-02-25,Dumbbell Curl,Biceps,30.0,lbs,7,,,,""
2025-02-25,Lateral Dumbbell Raise,Shoulders,15.0,lbs,10,,,,""
